         15265269 function calls (15256593 primitive calls) in 68.643 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4351    0.007    0.000    0.043    0.000 pathlib.py:1024(__new__)
     5545    0.002    0.000    0.002    0.000 pathlib.py:1034(_init)
      240    0.000    0.000    0.000    0.000 pathlib.py:1044(_make_child_relpath)
      242    0.000    0.000    0.000    0.000 pathlib.py:1101(iterdir)
      238    0.001    0.000    0.015    0.000 pathlib.py:1158(resolve)
     5305    0.002    0.000    0.003    0.000 pathlib.py:294(splitroot)
      238    0.000    0.000    0.000    0.000 pathlib.py:312(casefold_parts)
      238    0.001    0.000    0.010    0.000 pathlib.py:318(resolve)
      238    0.002    0.000    0.009    0.000 pathlib.py:322(_resolve)
     1666    0.001    0.000    0.006    0.000 pathlib.py:442(readlink)
     5067    0.013    0.000    0.019    0.000 pathlib.py:63(parse_parts)
     5067    0.011    0.000    0.033    0.000 pathlib.py:649(_parse_args)
     4589    0.006    0.000    0.038    0.000 pathlib.py:669(_from_parts)
      956    0.001    0.000    0.001    0.000 pathlib.py:682(_from_parsed_parts)
      718    0.001    0.000    0.001    0.000 pathlib.py:692(_format_parsed_parts)
      478    0.001    0.000    0.004    0.000 pathlib.py:703(_make_child)
      956    0.001    0.000    0.002    0.000 pathlib.py:709(__str__)
        2    0.000    0.000    0.000    0.000 pathlib.py:719(__fspath__)
     2704    0.000    0.000    0.000    0.000 pathlib.py:742(_cparts)
     1352    0.001    0.000    0.001    0.000 pathlib.py:763(__lt__)
      476    0.000    0.000    0.000    0.000 pathlib.py:795(name)
      476    0.001    0.000    0.001    0.000 pathlib.py:830(stem)
      478    0.000    0.000    0.004    0.000 pathlib.py:924(__truediv__)
      238    0.000    0.000    0.001    0.000 pathlib.py:930(parent)
      238    0.000    0.000    0.000    0.000 pathlib.py:945(is_absolute)
      238    0.001    0.000    0.002    0.000 posixpath.py:338(normpath)
        3    0.000    0.000    0.001    0.000 re.py:234(compile)
        3    0.000    0.000    0.001    0.000 re.py:273(_compile)
     8390    0.003    0.000    0.005    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
     8390    0.003    0.000    0.009    0.000 shape_base.py:348(_stack_dispatcher)
     8390    0.028    0.000    0.386    0.000 shape_base.py:357(stack)
     8390    0.053    0.000    0.106    0.000 shape_base.py:420(<listcomp>)
     8390    0.034    0.000    0.034    0.000 shape_base.py:424(<setcomp>)
     8390    0.074    0.000    0.074    0.000 shape_base.py:432(<listcomp>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       15    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       13    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        4    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        6    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        3    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        5    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
     26/3    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        3    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
       30    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       62    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      160    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       14    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       37    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
     28/8    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      581    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       59    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      524    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        5    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       38    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       16    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
